item_code,item_category,item_sub_department,item_department
1079917,Accessories,Baby Needs,Household
170206,Batteries,General Needs,Household
828493,Batteries,General Needs,Household
247885,Car Care Cleaning  Exterior,Car Care,Household
1041631,Tooth Brushes,Oral Care,Household
1483,Party Candles,Party Ware,Household
95677,Unclassified,Party Ware,Household
843514,Bath Soap,Skin Care,Household
26260,Shampoo,Hair Care,Household
1048552,Shampoo,Hair Care,Household
49984,Shampoo,Hair Care,Household
999115,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
12517,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
1046023,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
250594,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
1096342,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
24064,Ambient Liquid Milk,Milk & Creamers,Beverages
1071241,Chilled Sauces & Salad Accompanimen,Cooking Ingredients,Chilled
1075939,Chillled Puddings,Desserts,Chilled
1063600,Set Yogurt,Yoghurt,Chilled
1094821,Spices,Seasoning & Coconut Cream,Grocery
53980,Rice,Pulses,Grocery
88891,Rice,Pulses,Grocery
363796,Rice,Pulses,Grocery
23119,Dried Fish,Processed/Preserved Fish,Grocery
1006126,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
113083,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
163078,Crackers,Biscuits,Grocery
1063681,Single Consumption Chocolates,Confectionery,Grocery
5056,Sugar Confectionary,Confectionery,Grocery
121255,Local,Confectionery,Grocery
910438,Canned Vegetables,Processed / Preserved Vegetables,Grocery
1090690,Dessert Ingredients,Desserts,Grocery
1039804,Dessert Ingredients,Desserts,Grocery
28096,Ambient Spreads,Spreads,Grocery
42703,Ambient Spreads,Spreads,Grocery
1001824,Dried Fruit,Processed/Preserved Fruits,Grocery
1051612,Ambient Instant Soups,Soups,Grocery
111265,Freshener/Deodorisers,Cleaning Aids,Household
846079,Freshener/Deodorisers,Cleaning Aids,Household
1025674,Deodorants,Female Fragrance,Household
388807,Body Lotions,Hand & Body Care,Household
908674,Body Lotions,Hand & Body Care,Household
853468,Body Lotions,Hand & Body Care,Household
218374,Hand Cleansing,Hand & Body Care,Household
136654,Applicators & Accessories,Beauty Accessories,Household
970900,Nail Cosmetics,Cosmetics,Household
970972,Nail Cosmetics,Cosmetics,Household
988333,Men's Fragrance,Men's Toiletries,Household
952000,Disposable Cutlery,Disposable Table Ware,Household
1023010,Baby Nappies,Baby Needs,Household
12634,Baby Nappies,Baby Needs,Household
834766,Feeding Aids,Baby Needs,Household
942955,Other General Household Cleaning Ne,General Needs,Household
105838,Illumination,General Needs,Household
1051792,Eye Care,Facial Care,Household
82348,Car Care Cleaning  Exterior,Car Care,Household
847510,Rats Control,Pest Control,Household
884743,Cleanser,Skin Care,Household
401569,Conditioners,Hair Care,Household
878200,Shampoo,Hair Care,Household
837745,Concentrates/Mixes,Chocolate Drink,Beverages
1027195,White Malt Drinks,Malt Drink,Beverages
81124,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
998215,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
1013569,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
950596,Concentrated Liquid Drinks,Concentrated Fruit Drinks,Beverages
1105189,Concentrated Powdered Juices,Concentrated Fruit Drinks,Beverages
371284,Powdered Milk,Milk & Creamers,Beverages
154393,Pasteurized Milk,Liquid Milk,Chilled
16936,Set Yogurt,Yoghurt,Chilled
73375,Spices,Seasoning & Coconut Cream,Grocery
1087972,Spices,Seasoning & Coconut Cream,Grocery
91429,Rice,Pulses,Grocery
270052,Rice,Pulses,Grocery
245347,Rice,Pulses,Grocery
896560,Canned Fish,Processed/Preserved Fish,Grocery
896596,Canned Fish,Processed/Preserved Fish,Grocery
837790,Canned Fish,Processed/Preserved Fish,Grocery
901501,Canned Fish,Processed/Preserved Fish,Grocery
820267,Dry,Processed/Preserved Fish,Grocery
842290,Desserts,Baby Foods,Grocery
1017907,Single Consumption Chocolates,Confectionery,Grocery
82249,Sugar Confectionary,Confectionery,Grocery
834901,Imported,Confectionery,Grocery
25018,Imported,Confectionery,Grocery
142774,Corn,Cereals,Grocery
896362,Pasta,Sauce,Grocery
890440,Specialty,Sauce,Grocery
1106386,Canned Vegetables,Processed / Preserved Vegetables,Grocery
1070665,Dessert Pre-Mixes,Desserts,Grocery
397168,Ambient Dessert Syrups & Toppings,Desserts,Grocery
975400,Ambient Dessert Syrups & Toppings,Desserts,Grocery
888433,Ambient Spreads,Spreads,Grocery
56815,Ambient Spreads,Spreads,Grocery
730276,Packaged Dry Pasta,Pasta & Noodles,Grocery
95092,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
880,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
919429,Snack-Crisps & Chips,Snacks,Grocery
17350,Ambient Instant Soups,Soups,Grocery
383560,Deodorants,Female Fragrance,Household
1025737,Deodorants,Female Fragrance,Household
1043287,Deodorants,Female Fragrance,Household
1015963,Deodorants,Female Fragrance,Household
1051108,Applicators & Accessories,Beauty Accessories,Household
126727,Applicators & Accessories,Beauty Accessories,Household
1002229,Face/Complexion Cosmetics,Cosmetics,Household
970927,Nail Cosmetics,Cosmetics,Household
1053592,Nail Cosmetics,Cosmetics,Household
76138,Razors & Blades,Men's Toiletries,Household
1090348,Razors & Blades,Men's Toiletries,Household
988288,Men's Body Cleansing,Men's Toiletries,Household
1056877,Men's Fragrance,Men's Toiletries,Household
53755,All Purpose Cleaners,Cleaning Consumables,Household
169630,Toilet Cleaners,Cleaning Consumables,Household
4579,Baby Biscuits/ Rusks,Baby Foods,Household
1041109,Baby Nappies,Baby Needs,Household
